"id","eventTime","serverId","map","playerId","victimId","actionId","bonus","pos_x","pos_y","pos_z","pos_victim_x","pos_victim_y","pos_victim_z"
3368236,"2023-11-19 10:59:22",4,cp_sunshine,2,67668,16,1,1369,-2226,26,1505,-2157,17
3368232,"2023-11-19 10:58:52",4,cp_sunshine,49173,83202,72,0,559,-1960,132,734,-1826,152
3368231,"2023-11-19 10:58:50",4,cp_sunshine,83202,86664,16,1,747,-1819,162,1180,-2062,228
3368224,"2023-11-19 10:57:18",4,cp_sunshine,86664,86663,16,1,77,-2878,276,516,-2692,165
3368225,"2023-11-19 10:57:19",4,cp_sunshine,52846,3288,82,2,971,-1754,129,27,-1593,320
3368226,"2023-11-19 10:57:22",4,cp_sunshine,3288,52846,16,1,-77,-1715,271,1045,-1581,129
3368227,"2023-11-19 10:57:22",4,cp_sunshine,78482,52846,20,0,,,,,,
3368228,"2023-11-19 10:57:50",4,cp_sunshine,67668,3288,16,1,1406,-1919,173,1106,-1450,129
3368229,"2023-11-19 10:58:00",4,cp_sunshine,72861,86405,16,1,1500,-1870,88,572,-2644,143
3368230,"2023-11-19 10:58:44",4,cp_sunshine,86663,9434,16,1,820,-1952,175,706,-1990,129
3368215,"2023-11-19 10:56:20",4,cp_sunshine,52846,2,72,0,1047,-1695,129,1142,-1448,130
3368216,"2023-11-19 10:56:22",4,cp_sunshine,2,52846,16,1,1365,-1235,113,1269,-1636,129
3368217,"2023-11-19 10:56:31",4,cp_sunshine,83202,2,16,1,1454,-1393,174,1674,-1039,21
3368218,"2023-11-19 10:56:33",4,cp_sunshine,225,9434,16,1,813,-1576,129,1098,-1949,136
3368219,"2023-11-19 10:56:59",4,cp_sunshine,49173,86663,83,2,-335,-2107,89,15,-1684,320
3368220,"2023-11-19 10:57:04",4,cp_sunshine,49173,86663,49,0,-238,-1745,210,-59,-2060,143
3368221,"2023-11-19 10:57:06",4,cp_sunshine,49173,86663,49,0,-473,-2013,72,-493,-2441,69
3368222,"2023-11-19 10:57:11",4,cp_sunshine,52846,86664,72,0,195,-2373,235,24,-2463,312
3368223,"2023-11-19 10:57:12",4,cp_sunshine,52846,3288,72,0,209,-1619,320,30,-1758,300
3368214,"2023-11-19 10:56:19",4,cp_sunshine,52846,9434,72,0,1047,-1695,129,994,-1466,129
3368211,"2023-11-19 10:55:57",4,cp_sunshine,49173,86663,83,2,-1044,-1657,100,-101,-1630,271
3368212,"2023-11-19 10:56:17",4,cp_sunshine,83202,86405,16,1,722,-2604,123,953,-2579,154
3368213,"2023-11-19 10:56:18",4,cp_sunshine,52846,9434,49,0,679,-2200,129,659,-1610,145
3368207,"2023-11-19 10:53:17",4,pl_upward,70739,67668,29,5,,,,,,
3368208,"2023-11-19 10:53:18",4,pl_upward,81665,67668,16,1,29,-2094,198,-432,-2170,77
3368209,"2023-11-19 10:55:41",4,pl_upward,86663,78482,16,1,116,-1532,320,-1087,-2275,36
3368210,"2023-11-19 10:55:57",4,cp_sunshine,67668,70739,16,1,1059,-2227,288,781,-2542,137
3368202,"2023-11-19 10:52:36",4,pl_upward,83202,86405,29,5,,,,,,
3368203,"2023-11-19 10:52:54",4,pl_upward,78482,52846,16,1,1403,-1795,116,704,-1657,129
3368204,"2023-11-19 10:53:05",4,pl_upward,49173,72861,49,0,-761,-1812,90,-1074,-1858,43
3368205,"2023-11-19 10:53:07",4,pl_upward,67668,49173,16,1,-770,-2171,62,-804,-1774,79
3368206,"2023-11-19 10:53:09",4,pl_upward,49173,72861,16,1,-804,-1774,93,-1160,-1767,71
3368201,"2023-11-19 10:52:31",4,pl_upward,9434,11529,16,1,220,-1614,320,-712,-2000,99
3368200,"2023-11-19 10:52:11",4,pl_upward,49173,223,16,1,-110,-1863,220,-299,-1818,190
3368199,"2023-11-19 10:52:10",4,pl_upward,70739,223,29,5,,,,,,
3368198,"2023-11-19 10:52:08",4,pl_upward,9434,78412,16,1,765,-1647,132,86,-2488,224
3368197,"2023-11-19 10:52:05",4,pl_upward,70739,72861,29,5,,,,,,
3368196,"2023-11-19 10:51:42",4,pl_upward,9434,11529,16,1,799,-1635,129,634,-1718,154
3368195,"2023-11-19 10:51:33",4,pl_upward,78412,49173,16,1,-891,-1354,175,37,-1581,320
3368194,"2023-11-19 10:51:31",4,pl_upward,52846,49173,80,2,-716,-1438,200,-243,-1629,227
3368192,"2023-11-19 10:51:17",4,pl_upward,86405,67668,21,0,,,,,,
3368193,"2023-11-19 10:51:30",4,pl_upward,49173,78412,49,0,-17,-1743,343,-467,-1502,201
3368187,"2023-11-19 10:50:58",4,pl_upward,49173,11529,16,1,768,-1811,129,556,-1500,137
3368188,"2023-11-19 10:50:58",4,pl_upward,49173,11529,20,0,,,,,,
3368189,"2023-11-19 10:50:59",4,pl_upward,70739,72861,29,5,,,,,,
3368190,"2023-11-19 10:51:14",4,pl_upward,2,83202,59,0,1357,-1670,128,1648,-1909,87
3368191,"2023-11-19 10:51:16",4,pl_upward,81665,67668,16,1,1253,-2128,288,-2132,-1399,45
3368186,"2023-11-19 10:50:51",4,pl_upward,49173,225,78,2,933,-1636,129,169,-1555,320
3368184,"2023-11-19 10:50:50",4,pl_upward,52846,9434,16,1,662,-1692,142,908,-1667,189
3368185,"2023-11-19 10:50:50",4,pl_upward,52846,9434,21,0,,,,,,
3368183,"2023-11-19 10:50:39",4,pl_upward,49173,223,82,2,909,-1606,129,467,-1686,285
3368180,"2023-11-19 10:50:12",4,pl_upward,2,83202,59,0,953,-1912,288,389,-2460,297
3368181,"2023-11-19 10:50:14",4,pl_upward,67668,86405,20,0,,,,,,
3368182,"2023-11-19 10:50:39",4,pl_upward,49173,52846,72,0,909,-1606,129,663,-1692,143
3368177,"2023-11-19 10:49:33",4,pl_upward,72861,81665,16,1,87,-1540,320,1136,-1589,129
3368178,"2023-11-19 10:50:09",4,pl_upward,52846,49173,49,0,-530,-2330,65,-88,-1785,258
3368179,"2023-11-19 10:50:11",4,pl_upward,2,52846,59,0,953,-1912,288,246,-2364,228
3368175,"2023-11-19 10:49:29",4,pl_upward,83202,9434,29,5,,,,,,
3368176,"2023-11-19 10:49:31",4,pl_upward,78412,9434,16,1,61,-2509,224,659,-1735,128
3368172,"2023-11-19 10:49:21",4,pl_upward,9434,11529,16,1,883,-1749,129,629,-1604,129
3368173,"2023-11-19 10:49:27",4,pl_upward,70739,52846,16,1,315,-1571,330,611,-1624,130
3368174,"2023-11-19 10:49:27",4,pl_upward,9434,52846,20,0,,,,,,
3368171,"2023-11-19 10:48:54",4,pl_upward,78412,9434,59,0,6,-2497,213,953,-1786,136
3368170,"2023-11-19 10:48:51",4,pl_upward,52846,9434,72,0,283,-1763,271,497,-1610,176
3368169,"2023-11-19 10:48:48",4,pl_upward,83202,3288,29,5,,,,,,
3368168,"2023-11-19 10:48:46",4,pl_upward,49173,72861,78,2,439,-1584,214,-1201,-1801,1
3368167,"2023-11-19 10:48:46",4,pl_upward,52846,9434,72,0,141,-1529,320,352,-1573,272
3368166,"2023-11-19 10:48:44",4,pl_upward,83202,2,29,5,,,,,,
3368165,"2023-11-19 10:48:43",4,pl_upward,52846,49173,80,2,-617,-1438,200,-199,-1610,238
3368164,"2023-11-19 10:48:42",4,pl_upward,49173,223,49,0,-57,-1650,298,-497,-1470,216
3368163,"2023-11-19 10:48:23",4,pl_upward,81665,11529,16,1,279,-1552,320,-443,-1544,203
3368162,"2023-11-19 10:48:20",4,pl_upward,49173,52846,16,1,-68,-1944,190,-682,-1344,231
3368161,"2023-11-19 10:48:18",4,pl_upward,52846,49173,72,0,-605,-1413,216,-371,-1570,213
3368160,"2023-11-19 10:48:17",4,pl_upward,9434,223,16,1,-65,-1724,275,-920,-1313,167
3368159,"2023-11-19 10:48:14",4,pl_upward,49173,223,49,0,-201,-1820,199,-595,-1429,203
3368158,"2023-11-19 10:48:12",4,pl_upward,49173,223,49,0,111,-1916,265,-556,-1438,200
3368157,"2023-11-19 10:47:52",4,pl_upward,9434,11529,20,0,,,,,,
3368156,"2023-11-19 10:47:51",4,pl_upward,49173,11529,16,1,234,-2249,233,29,-2070,290
3368155,"2023-11-19 10:47:48",4,pl_upward,49173,72861,49,0,149,-2481,226,-690,-1592,231
3368154,"2023-11-19 10:47:48",4,pl_upward,49173,11529,49,0,242,-2355,229,-473,-1599,201
3368153,"2023-11-19 10:47:45",4,pl_upward,52846,3288,16,1,297,-2553,279,252,-2191,222
3368152,"2023-11-19 10:47:39",4,pl_upward,52846,86405,49,0,284,-2759,338,641,-2601,112
3368151,"2023-11-19 10:47:38",4,pl_upward,52846,3288,82,2,-113,-2500,173,279,-2159,213
3368150,"2023-11-19 10:47:38",4,pl_upward,52846,2,49,0,-224,-2306,117,972,-1953,288
3368149,"2023-11-19 10:47:23",4,pl_upward,52846,49173,80,2,-608,-1761,100,-35,-1860,256
3368148,"2023-11-19 10:47:23",4,pl_upward,52846,49173,83,2,-608,-1761,100,-35,-1860,256
3368147,"2023-11-19 10:47:22",4,pl_upward,49173,52846,49,0,-176,-1787,221,-378,-1860,115
3368140,"2023-11-19 10:46:23",4,pl_upward,83202,2,29,5,,,,,,
3368141,"2023-11-19 10:46:31",4,pl_upward,81665,11529,16,1,558,-1489,131,606,-2366,132
3368142,"2023-11-19 10:46:48",4,pl_upward,83202,86405,29,5,,,,,,
3368143,"2023-11-19 10:46:52",4,pl_upward,52846,49173,72,0,655,-1874,129,743,-1714,129
3368144,"2023-11-19 10:46:54",4,pl_upward,78482,223,16,1,1404,-1668,128,269,-1723,276
3368145,"2023-11-19 10:47:14",4,pl_upward,49173,11529,16,1,628,-2271,129,696,-2302,305
3368146,"2023-11-19 10:47:15",4,pl_upward,52846,9434,72,0,187,-1717,320,388,-1539,248
3368135,"2023-11-19 10:45:37",4,pl_upward,86405,72861,16,1,877,-2602,35,909,-2661,19
3368136,"2023-11-19 10:45:41",4,pl_upward,81665,11529,16,1,812,-1823,129,434,-2129,174
3368137,"2023-11-19 10:45:51",4,pl_upward,49173,223,49,0,264,-1608,320,-217,-1810,195
3368138,"2023-11-19 10:45:52",4,pl_upward,70739,52846,16,1,1448,-1739,125,1555,-1943,69
3368139,"2023-11-19 10:45:57",4,pl_upward,49173,67668,49,0,186,-1264,406,-967,-2290,324
3368133,"2023-11-19 10:45:17",4,pl_upward,9434,83202,16,1,574,-1881,130,514,-2620,158
3368134,"2023-11-19 10:45:18",4,pl_upward,49173,72861,49,0,776,-2463,86,886,-2680,17
3368132,"2023-11-19 10:45:16",4,pl_upward,49173,52846,72,0,826,-2616,40,778,-2620,48
3368131,"2023-11-19 10:45:16",4,pl_upward,49173,72861,72,0,826,-2616,40,755,-2625,51
3368130,"2023-11-19 10:45:11",4,pl_upward,9434,52846,16,1,519,-1579,161,1177,-2513,5
3368129,"2023-11-19 10:45:04",4,pl_upward,86405,223,29,5,,,,,,
3368128,"2023-11-19 10:45:04",4,pl_upward,52846,81665,16,1,-1096,-2382,34,-168,-1742,235
3368127,"2023-11-19 10:45:02",4,pl_upward,52846,49173,49,0,-1046,-2331,47,256,-1564,320
3368124,"2023-11-19 10:44:56",4,pl_upward,49173,78412,83,2,71,-1609,320,-1349,-2311,-33
3368125,"2023-11-19 10:45:01",4,pl_upward,49173,78412,49,0,205,-1532,320,-971,-2318,64
3368126,"2023-11-19 10:45:01",4,pl_upward,52846,49173,80,2,-1051,-2338,46,294,-1558,311
3368587,"2023-12-11 10:13:26",4,cp_metalworks,198,87020,16,1,-88,-1686,-88,-1736,-957,-507
3368588,"2023-12-11 10:13:43",4,cp_metalworks,67668,201,49,0,-1605,-622,-512,-1676,-56,-510
3368589,"2023-12-11 10:13:46",4,cp_metalworks,67668,201,16,1,-2023,-866,-383,-2111,-1031,-383
3368590,"2023-12-11 10:13:57",4,cp_metalworks,67668,256,101,0,-2125,977,-256,-1818,1159,-256
3368591,"2023-12-11 10:16:23",4,cp_metalworks,67668,256,101,0,-652,-796,-384,-233,-82,-256
3368592,"2023-12-11 10:16:26",4,cp_metalworks,67668,256,16,1,-681,-142,-255,-600,-105,-230
3368593,"2023-12-11 10:16:38",4,cp_metalworks,223,70739,72,0,-1477,190,-487,-1610,277,-501
3368594,"2023-12-11 10:16:38",4,cp_metalworks,223,70739,83,2,-1477,190,-487,-1610,277,-501
3368595,"2023-12-11 10:17:07",4,cp_metalworks,223,74104,72,0,-2444,-422,-338,-2266,-297,-256
3368596,"2023-12-11 10:17:08",4,cp_metalworks,201,9434,79,2,-2441,-716,-384,-849,-602,-284
3368597,"2023-12-11 10:17:10",4,cp_metalworks,223,74104,16,1,-2210,457,-255,-1669,460,-493
3368598,"2023-12-11 10:17:33",4,cp_metalworks,67668,87020,101,0,-1288,-26,-170,-1066,427,-472
3368599,"2023-12-11 10:17:34",4,cp_metalworks,2,87020,59,0,-1462,331,-230,-1016,600,-472
3368600,"2023-12-11 10:17:45",4,cp_metalworks,2,87020,16,1,-1563,462,-255,-993,641,-471
3368601,"2023-12-11 10:18:27",4,pl_badwater,67668,12279,16,1,-1476,2600,-420,-1648,3020,-264
3368602,"2023-12-11 10:18:29",4,pl_badwater,223,198,72,0,-1736,3137,-260,-1554,3296,-256
3368603,"2023-12-11 10:18:29",4,pl_badwater,223,198,72,0,-1674,3329,-256,-1589,3474,-256
3368604,"2023-12-11 10:18:55",4,pl_badwater,198,223,16,1,-1577,3648,-255,-1640,3294,-255
3368605,"2023-12-11 10:20:41",4,pl_badwater,223,256,72,0,996,-1582,569,881,-1534,418
3368606,"2023-12-11 10:20:42",4,pl_badwater,223,198,72,0,853,-1697,395,738,-1679,384
3368607,"2023-12-11 10:20:42",4,pl_badwater,223,256,72,0,853,-1697,395,659,-1610,384
3368608,"2023-12-11 10:20:49",4,pl_badwater,223,256,72,0,698,-1491,341,642,-1468,479
3368609,"2023-12-11 10:20:50",4,pl_badwater,223,256,72,0,553,-1340,304,596,-1383,515
3368610,"2023-12-11 10:20:50",4,pl_badwater,223,256,72,0,459,-1515,283,427,-1478,579
3368611,"2023-12-11 10:20:52",4,pl_badwater,12279,256,16,1,285,-1213,288,439,-1495,700
3368612,"2023-12-11 10:20:54",4,pl_badwater,223,201,72,0,661,-1797,411,740,-1706,384
3368613,"2023-12-11 10:20:57",4,pl_badwater,67668,2,59,0,1054,-1091,352,1887,-891,206
3368614,"2023-12-11 10:20:58",4,pl_badwater,223,2,72,0,1573,-818,278,1695,-930,254
3368615,"2023-12-11 10:20:58",4,pl_badwater,223,2,72,0,1770,-951,236,1665,-1105,469
3368616,"2023-12-11 10:20:59",4,pl_badwater,223,2,72,0,924,-1739,384,992,-1807,384
3368617,"2023-12-11 10:20:59",4,pl_badwater,223,2,72,0,1026,-1826,384,1039,-1857,589
3368618,"2023-12-11 10:20:59",4,pl_badwater,223,9434,72,0,1026,-1826,384,1080,-1728,555
3368619,"2023-12-11 10:21:00",4,pl_badwater,223,2,72,0,1006,-1890,388,1094,-1957,582
3368620,"2023-12-11 10:22:37",4,pl_badwater,201,74104,72,0,2515,-847,128,2416,-945,128
3368621,"2023-12-11 10:22:39",4,pl_badwater,2,74104,16,1,2777,-977,128,2385,-1263,128
3368622,"2023-12-11 10:23:17",4,pl_badwater,256,74104,16,1,650,-1813,128,501,-1929,200
3368623,"2023-12-11 10:23:20",4,pl_badwater,223,256,16,1,-1,-766,173,239,-1936,129
3368624,"2023-12-11 10:23:37",4,pl_badwater,201,70739,16,1,645,-1691,384,960,-2080,512
3368625,"2023-12-11 10:23:55",4,pl_badwater,2,67668,16,1,35,-1277,153,-348,-634,128
3368626,"2023-12-11 10:23:59",4,pl_badwater,67668,9434,16,1,-348,-634,142,-275,-724,134
3368627,"2023-12-11 10:25:19",4,pl_badwater,201,74104,72,0,-1112,447,256,-1121,719,256
3368628,"2023-12-11 10:25:20",4,pl_badwater,201,223,82,2,-1112,447,256,-1155,1058,256
3368629,"2023-12-11 10:25:21",4,pl_badwater,201,223,82,2,-1197,300,224,-1242,1057,256
3368630,"2023-12-11 10:25:27",4,pl_badwater,74104,256,16,1,-1376,-90,128,-1642,947,3
3368631,"2023-12-11 10:25:44",4,pl_badwater,12279,198,16,1,-1679,788,88,-1391,73,128
3368632,"2023-12-11 10:26:09",4,pl_badwater,201,223,82,2,-2061,775,256,-1849,1245,40
3368633,"2023-12-11 10:26:10",4,pl_badwater,201,74104,72,0,-1823,1008,292,-1822,1124,271
3368634,"2023-12-11 10:26:12",4,pl_badwater,67668,9434,16,1,-1575,2500,135,-1203,1036,256
3368635,"2023-12-11 10:26:16",4,pl_badwater,12279,201,16,1,-2042,1460,320,-1936,1243,39
3368636,"2023-12-11 10:26:31",4,pl_badwater,223,78482,16,1,-2008,944,289,-2319,297,256
3368637,"2023-12-11 10:26:53",4,pl_badwater,223,201,20,0,,,,,,
3368638,"2023-12-11 10:26:56",4,pl_badwater,2,12279,16,1,-1498,1357,80,-1640,1588,130
3368639,"2023-12-11 10:26:59",4,pl_badwater,256,67668,16,1,-1531,1864,128,-1426,2588,128
3368640,"2023-12-11 10:28:05",4,pl_badwater,223,201,16,1,39,1160,-127,-207,1657,128
3368641,"2023-12-11 10:28:08",4,pl_badwater,74104,256,16,1,-114,615,-125,-577,1522,-26
3368642,"2023-12-11 10:28:11",4,pl_badwater,67668,9434,16,1,414,813,-199,-601,1715,69
3368643,"2023-12-11 10:29:00",4,pl_badwater,223,256,16,1,548,680,-237,-599,1100,-127
3368644,"2023-12-11 10:29:24",4,pl_badwater,223,2,16,1,606,451,-255,-568,1047,-127
3368645,"2023-12-11 10:29:25",4,pl_badwater,70739,201,16,1,-538,280,128,-616,812,-127
3368646,"2023-12-11 10:31:36",4,pl_badwater,70739,78482,16,1,-1520,-223,128,-1238,-91,145
3368647,"2023-12-11 10:31:49",4,pl_badwater,70739,9434,16,1,-1905,460,11,-1942,492,97
3368648,"2023-12-11 10:31:54",4,pl_badwater,70739,201,16,1,-1407,561,34,-1569,169,144
3368649,"2023-12-11 10:32:25",4,pl_badwater,9434,87021,83,2,-1314,2161,128,-1411,1438,256
3368650,"2023-12-11 10:32:46",4,pl_badwater,87021,78482,16,1,-1343,2076,178,-1008,2009,128
3368651,"2023-12-11 10:32:53",4,pl_badwater,70739,256,16,1,-1368,1874,143,-818,2085,179
3368652,"2023-12-11 10:32:55",4,pl_badwater,87021,9434,16,1,-1386,1784,142,-840,2008,132
3368653,"2023-12-11 10:33:39",4,pl_badwater,223,198,20,0,,,,,,
3368654,"2023-12-11 10:33:42",4,pl_badwater,9434,223,72,0,288,1075,-126,93,1187,-128
3368655,"2023-12-11 10:33:44",4,pl_badwater,9434,223,72,0,50,1414,-128,-1,1406,-128
3368656,"2023-12-11 10:33:45",4,pl_badwater,9434,70739,72,0,50,1414,-128,-88,1463,-114
3368657,"2023-12-11 10:33:46",4,pl_badwater,9434,70739,72,0,26,1550,-128,-88,1463,-114
3368658,"2023-12-11 10:33:49",4,pl_badwater,9434,223,16,1,-21,1555,-127,-279,1564,-119
3368659,"2023-12-11 10:33:49",4,pl_badwater,256,223,21,0,,,,,,
3368660,"2023-12-11 10:33:55",4,pl_badwater,12279,9434,16,1,-1607,1460,109,-1331,2090,133
3368661,"2023-12-11 10:34:39",4,pl_badwater,223,201,16,1,-712,2011,164,26,1459,128
3368662,"2023-12-11 10:34:40",4,pl_badwater,74104,201,20,0,,,,,,
3368663,"2023-12-11 10:34:40",4,pl_badwater,9434,223,72,0,-641,1810,117,-738,2051,129
3368664,"2023-12-11 10:34:41",4,pl_badwater,9434,70739,72,0,-641,1810,117,-644,1990,128
3368665,"2023-12-11 10:34:44",4,pl_badwater,9434,70739,16,1,-678,1274,-95,-844,2008,132
3368666,"2023-12-11 10:34:45",4,pl_badwater,2,223,16,1,-811,2179,131,-1219,2108,128
3368667,"2023-12-11 10:34:46",4,pl_badwater,198,223,21,0,,,,,,
3368668,"2023-12-11 10:34:48",4,pl_badwater,74104,9434,20,0,,,,,,
3368669,"2023-12-11 10:35:06",4,pl_badwater,2,67668,16,1,-514,1931,128,-478,1655,39
3368670,"2023-12-11 10:35:09",4,pl_badwater,256,74104,16,1,-336,1655,177,-5,1850,128
3368671,"2023-12-11 10:35:14",4,pl_badwater,67668,2,16,1,217,-2564,521,-447,1705,139
3368672,"2023-12-11 10:35:36",4,pl_badwater,70739,198,16,1,-523,2024,128,-610,1348,-12
3368673,"2023-12-11 10:35:46",4,pl_badwater,12279,78482,16,1,-586,1422,-76,-416,-72,238
3368674,"2023-12-11 10:35:48",4,pl_badwater,70739,2,16,1,-417,924,-127,604,792,128
3368675,"2023-12-11 10:36:33",4,pl_badwater,87022,198,16,1,-192,1890,384,-231,177,128
3368676,"2023-12-11 10:40:29",4,ctf_haarp,74104,78482,72,0,-5720,-6004,-256,-5989,-5969,-220
